ibge;anomes;qtd_familias_beneficiarias_bolsa_familia;valor_repassado_bolsa_familia;Nome_Município;Nome_Região
110001;2015;10553;1658535;Alta Floresta D'Oeste;1
110002;2015;26909;4073662;Ariquemes;1
110003;2015;2010;266669;Cabixi;1
110004;2015;19506;2697478;Cacoal;1
110005;2015;4072;569757;Cerejeiras;1
110006;2015;4272;585942;Colorado do Oeste;1
110007;2015;3991;576230;Corumbiara;1
110008;2015;8242;1540348;Costa Marques;1
110009;2015;9620;1347837;Espigão D'Oeste;1
110010;2015;21165;3639974;Guajará-Mirim;1
110011;2015;19118;2671768;Jaru;1
110012;2015;25118;3789047;Ji-Paraná;1
110013;2015;13898;2004510;Machadinho D'Oeste;1
110014;2015;13187;1834500;Nova Brasilândia D'Oeste;1
110015;2015;8485;1150293;Ouro Preto do Oeste;1
110018;2015;8658;1337277;Pimenta Bueno;1
110020;2015;128162;20371620;Porto Velho;1
110025;2015;11614;1994175;Presidente Médici;1
110026;2015;1863;278195;Rio Crespo;1
110028;2015;13950;1971583;Rolim de Moura;1
110029;2015;3248;419185;Santa Luzia D'Oeste;1
110030;2015;21056;3415420;Vilhena;1
110032;2015;8229;1123625;São Miguel do Guaporé;1
110033;2015;16243;2531170;Nova Mamoré;1
110034;2015;10613;1725667;Alvorada D'Oeste;1
110037;2015;6200;952088;Alto Alegre dos Parecis;1
110040;2015;9526;1330548;Alto Paraíso;1
110045;2015;15761;2403677;Buritis;1
110050;2015;5037;755428;Novo Horizonte do Oeste;1
110060;2015;2113;315647;Cacaulândia;1
110070;2015;6574;1086372;Campo Novo de Rondônia;1
110080;2015;9691;1538546;Candeias do Jamari;1
110090;2015;1615;246060;Castanheiras;1
110092;2015;3906;822622;Chupinguaia;1
110094;2015;8719;1439836;Cujubim;1
110100;2015;6936;1045568;Governador Jorge Teixeira;1
110110;2015;5243;748620;Itapuã do Oeste;1
110120;2015;4300;592247;Ministro Andreazza;1
110130;2015;5891;803134;Mirante da Serra;1
110140;2015;6770;1104073;Monte Negro;1
110143;2015;2461;373775;Nova União;1
110145;2015;2997;455627;Parecis;1
110146;2015;952;177016;Pimenteiras do Oeste;1
110147;2015;1065;145273;Primavera de Rondônia;1
110148;2015;2798;350610;São Felipe D'Oeste;1
110149;2015;9172;1348890;São Francisco do Guaporé;1
110150;2015;6901;926827;Seringueiras;1
110155;2015;2308;357955;Teixeirópolis;1
